id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_tanaman,luas_tanaman,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,TANAM,0.0,HEKTAR,2016
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PANEN,0.0,HEKTAR,2016
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TANAM,0.0,HEKTAR,2016
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PANEN,0.0,HEKTAR,2016
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TANAM,0.0,HEKTAR,2016
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PANEN,0.0,HEKTAR,2016
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TANAM,0.0,HEKTAR,2016
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PANEN,0.0,HEKTAR,2016
9,32,JAWA BARAT,3205,KABUPATEN GARUT,TANAM,88.0,HEKTAR,2016
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PANEN,88.0,HEKTAR,2016
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TANAM,0.0,HEKTAR,2016
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PANEN,0.0,HEKTAR,2016
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TANAM,0.0,HEKTAR,2016
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PANEN,0.0,HEKTAR,2016
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TANAM,540.0,HEKTAR,2016
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PANEN,540.0,HEKTAR,2016
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,TANAM,4912.0,HEKTAR,2016
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PANEN,4912.0,HEKTAR,2016
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TANAM,623.0,HEKTAR,2016
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PANEN,623.0,HEKTAR,2016
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TANAM,66.0,HEKTAR,2016
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PANEN,66.0,HEKTAR,2016
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TANAM,315.0,HEKTAR,2016
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PANEN,315.0,HEKTAR,2016
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,TANAM,126.0,HEKTAR,2016
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PANEN,126.0,HEKTAR,2016
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TANAM,0.0,HEKTAR,2016
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PANEN,0.0,HEKTAR,2016
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TANAM,0.0,HEKTAR,2016
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PANEN,0.0,HEKTAR,2016
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,TANAM,0.0,HEKTAR,2016
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PANEN,0.0,HEKTAR,2016
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TANAM,0.0,HEKTAR,2016
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PANEN,0.0,HEKTAR,2016
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TANAM,0.0,HEKTAR,2016
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PANEN,0.0,HEKTAR,2016
37,32,JAWA BARAT,3271,KOTA BOGOR,TANAM,0.0,HEKTAR,2016
38,32,JAWA BARAT,3271,KOTA BOGOR,PANEN,0.0,HEKTAR,2016
39,32,JAWA BARAT,3272,KOTA SUKABUMI,TANAM,0.0,HEKTAR,2016
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PANEN,0.0,HEKTAR,2016
41,32,JAWA BARAT,3273,KOTA BANDUNG,TANAM,0.0,HEKTAR,2016
42,32,JAWA BARAT,3273,KOTA BANDUNG,PANEN,0.0,HEKTAR,2016
43,32,JAWA BARAT,3274,KOTA CIREBON,TANAM,0.0,HEKTAR,2016
44,32,JAWA BARAT,3274,KOTA CIREBON,PANEN,0.0,HEKTAR,2016
45,32,JAWA BARAT,3275,KOTA BEKASI,TANAM,0.0,HEKTAR,2016
46,32,JAWA BARAT,3275,KOTA BEKASI,PANEN,0.0,HEKTAR,2016
47,32,JAWA BARAT,3276,KOTA DEPOK,TANAM,0.0,HEKTAR,2016
48,32,JAWA BARAT,3276,KOTA DEPOK,PANEN,0.0,HEKTAR,2016
49,32,JAWA BARAT,3277,KOTA CIMAHI,TANAM,0.0,HEKTAR,2016
50,32,JAWA BARAT,3277,KOTA CIMAHI,PANEN,0.0,HEKTAR,2016
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TANAM,0.0,HEKTAR,2016
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PANEN,0.0,HEKTAR,2016
53,32,JAWA BARAT,3279,KOTA BANJAR,TANAM,0.0,HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,PANEN,0.0,HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,TANAM,0.0,HEKTAR,2017
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,PANEN,0.0,HEKTAR,2017
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TANAM,0.0,HEKTAR,2017
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PANEN,0.0,HEKTAR,2017
